,authors,tweets,likes,retweets,time
32,Dorraemon_,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 20:58:11+00:00
33,MikePru0,🐒 off the back for @allann_11 and I predict it will roll into Sunday… LFG! 💪🇵🇱🏒 https://t.co/VwGf3Poi5D,1,0,2022-04-29 20:47:54+00:00
34,KGlendza,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 20:47:39+00:00
35,PolandHockey,RT @Spiros_Anastas: Love the game and love helping it grow around the world. Have had incredible experiences in each country! Amazing peopl…,0,6,2022-04-29 20:40:30+00:00
36,PolandHockey,@slapshotPL I’m just laughing at this point. 1 for 5 while scoring 10 goals,1,0,2022-04-29 20:40:21+00:00
37,slapshotPL,"@PolandHockey 
This picture sums up the quality of our PP conversion https://t.co/Xf9Yrf1Xz9",0,0,2022-04-29 20:38:36+00:00
38,FuscoNation16,RT @Spiros_Anastas: Love the game and love helping it grow around the world. Have had incredible experiences in each country! Amazing peopl…,0,6,2022-04-29 20:36:49+00:00
39,Spiros_Anastas,Love the game and love helping it grow around the world. Have had incredible experiences in each country! Amazing people to teach and learn from. Thankful to my full-time employers for allowing me to take advantage of these opportunities over the years! https://t.co/Ef2hYJJKTa,25,6,2022-04-29 20:33:43+00:00
40,PolandHockey,"Poland is on the powerplay again. If they miss, it's 1 for 5. 

I can't think of a more ridiculous stat line than scoring 10 goals and still having a bad powerplay.",2,0,2022-04-29 20:17:15+00:00
41,PolandHockey,Lyszczarczyk had 5 points in 12 world championship games before tonight. He has 7 tonight alone on 1 goal and six assists.,8,1,2022-04-29 20:13:44+00:00
42,PolandHockey,"Poland scored immediately again. Walega makes it a 7 goal lead. 

9-2 🇵🇱 https://t.co/qcKnR3nBLo",0,0,2022-04-29 20:04:29+00:00
43,PolandHockey,"Serbia has killed off another Polish powerplay. 

Poland is 1 for 4 today and now 1 for 10 in the tournament.",0,0,2022-04-29 19:52:05+00:00
44,PolandHockey,"Djumic with his second of the game for Serbia. 

7-2 🇵🇱 https://t.co/6H2SRoJXZb",0,0,2022-04-29 19:46:04+00:00
45,PolandHockey,"There is the hattrick for Komorski! Lyszczarczyk picks up his fifth point of the game.

7-1 🇵🇱 https://t.co/nMMLuDh8l7",3,0,2022-04-29 19:44:41+00:00
46,ok_anenas,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 19:44:36+00:00
47,PolandHockey,"Italy U18 defeated Slovenia U18 2-1 in regulation. 

This means Poland U18 and Slovenia U18 will fight for who stays in Division 1 on Sunday.",1,0,2022-04-29 19:38:30+00:00
48,PolandHockey,"The final period is ago! 

Poland looking to hang on to a five-goal lead. 
https://t.co/hnnwsqTK9r",1,0,2022-04-29 19:37:25+00:00
49,PolandHockey,"Serbia has killed off another penalty. 

Poland is 1 for 3 on the day, and 1 for 9 in the tournament overall. If they can't get it to work, then beating Japan is going to be a lot more difficult.",0,0,2022-04-29 19:13:39+00:00
50,PolandHockey,"Always here for a good wrap-around! Michalski with his first goal of the tournament. 

4-1 🇵🇱 https://t.co/OjHKG2AxEm",1,0,2022-04-29 19:05:47+00:00
51,LangowskiKacper,@GuziQPL @PolandHockey I'll ask,2,0,2022-04-29 18:57:14+00:00
52,CoyotesPL,@PolandHockey the guy in the picture is the only one that can bring up a future goalie for team Poland,1,0,2022-04-29 18:55:05+00:00
53,PolandHockey,"Also as I mentioned in my article about Poland's future in net, Zabolotny is only the fifth goalie to appear for Poland at the World Championships since 2011. 
https://t.co/5Nnk949Vxg",1,0,2022-04-29 18:53:57+00:00
54,PolandHockey,"2nd period is underway! 

Poland leading 3-1 
https://t.co/hnnwsqTK9r",0,0,2022-04-29 18:51:32+00:00
55,PolandHockey,"For fun during intermission. 

A team of players Poland did not take for whatever reason. I could see them staying competitive with team Poland. https://t.co/Jj34Dk57Ln",7,0,2022-04-29 18:49:56+00:00
56,MikePru0,@PolandHockey If this game gets him going into Sunday then I’m all for it 🤝,0,0,2022-04-29 18:42:23+00:00
57,MikePru0,This was 🎯 @allann_11 https://t.co/z7OfOijRx7,1,0,2022-04-29 18:41:51+00:00
58,PolandHockey,@MikePru0 haha 2 points so far.,0,0,2022-04-29 18:38:12+00:00
59,ErnestLemingway,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 18:37:47+00:00
60,MikePru0,"@PolandHockey this is why I stopped live tweeting Bruins games years ago, but I’ll take credit for that ice breaker 🥶🎯",0,0,2022-04-29 18:36:51+00:00
61,MikePru0,@PolandHockey Yeesh,0,0,2022-04-29 18:36:03+00:00
62,PolandHockey,"Poland finally makes something happen on the powerplay. 

3-1 🇵🇱 https://t.co/tgCDbsePYv",1,0,2022-04-29 18:33:43+00:00
63,PolandHockey,POLAND DID IT THEY SCORED A POWERPLAY GOAL https://t.co/vEtUbsOAxF,1,0,2022-04-29 18:32:31+00:00
64,PolandHockey,"Poland to another powerplay. 

They're looking to avoid going 0-8 in the tournament.",1,0,2022-04-29 18:31:43+00:00
65,PolandHockey,@GuziQPL If I had media access I would love to ask who was in charge.,2,0,2022-04-29 18:31:05+00:00
66,GuziQPL,@PolandHockey Its very funny that Serbia have better powerplay than Poland...,0,0,2022-04-29 18:30:25+00:00
67,MikePru0,.@PolandHockey AL21 breaks the cold streak here,1,0,2022-04-29 18:30:19+00:00
68,whatthebloop,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 18:28:57+00:00
69,PolandHockey,"For note. 

The assistants for Kalaber at the tournament are Artur Ślusarczyk, and Tomasz Demkowicz. Both of whom led Poland to last place and relegation at the U20s earlier this season.",1,0,2022-04-29 18:28:29+00:00
70,PolandHockey,@Valpix666 I think more teams should take the style.,0,0,2022-04-29 18:25:48+00:00
71,PolandHockey,"Poland is now to the penalty kill. 

Did Poland expect to just walk all over Serbia?",0,0,2022-04-29 18:24:33+00:00
72,MikePru0,@PolandHockey Send help,0,0,2022-04-29 18:22:50+00:00
73,PolandHockey,This is Serbia's first goal of the tournament after they were shutout by Japan 8-0 and Ukraine 7-0,2,0,2022-04-29 18:22:19+00:00
74,PolandHockey,"Serbia just killed off a penalty. 

Poland is now 0-7 on the powerplay during the World Championships...",0,0,2022-04-29 18:18:42+00:00
75,AZadarski,Former ECHL Brampton Beast head coach is now coaching the Serbian national team. https://t.co/vAysllHXUd,1,0,2022-04-29 18:15:26+00:00
76,PolandHockey,"The Pas and Wronka connection continues! 

2-0 🇵🇱 https://t.co/L0TLbndCo7",2,0,2022-04-29 18:14:06+00:00
77,PolandHockey,"Serbia's head coach is Spiros Anastas. Who at only 36-years-old has coached all around the world, including the national teams of Canada, Estonia, South Korea, and now Serbia.",4,2,2022-04-29 18:13:16+00:00
78,fhumpires,"RT @eurohockeyorg: #TheFutureIsBright #Umpires #EquallyAmazing 

During the @EHLHockeyTV finals, 38 umpires from 16 nations came together w…",0,3,2022-04-29 18:08:26+00:00
79,overtimestress,I’m literally listening to I’m Your Man by Wham! right now!!! https://t.co/warTPp8T1b,0,0,2022-04-29 18:06:08+00:00
80,PolandHockey,"Also from https://t.co/77Znpwg3Yi, Poland vs. Ukraine was watched an average of 140,000 viewers while peaking at 283,0000. 

This beat Poland's win vs. Belarus at the Olympic Qualifers.",2,0,2022-04-29 18:03:39+00:00
81,PolandHockey,"Poland vs. Serbia is live!

📺: https://t.co/hnnwsqTK9r",0,0,2022-04-29 18:01:09+00:00
82,NelaJJaukovic,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 16:55:57+00:00
83,zforcan,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 16:28:15+00:00
84,NSutim,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 16:24:08+00:00
85,EHF_Jorge,RT @RDavidBalbirnie: Pavel Mazur coach Vinnytsia Hockey Club &amp; Ukrainian men's National team supervising squad training in between humanita…,0,1,2022-04-29 16:05:01+00:00
86,j_rigas,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:54:28+00:00
87,WorldHockeyNews,"#THP Charity raises awareness of sun protection in sport and outdoor recreation

A campaign is addressing the UK’s epidemic rise in skin cancer by raising awareness of sun protection in sport and outdoor recreation. Sunguarding Sport launches in May, bac… https://t.co/Xsssx9XZM1",0,0,2022-04-29 15:41:34+00:00
88,s_total_s2,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:39:33+00:00
89,leftist101,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:35:31+00:00
90,AnaCris49413336,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:25:38+00:00
91,traumen351,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:25:16+00:00
92,GiveEmHellHorns,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:24:48+00:00
93,SandraHelena39,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:24:19+00:00
94,Doratas4,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:14:11+00:00
95,kokaizbloka,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:13:42+00:00
96,ADULTinvest0r,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:12:51+00:00
97,zlackie,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:09:55+00:00
98,Lucy_simplyLucy,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:03:59+00:00
99,stevenf500,"RT @Ulster_Umpires: 🚨Men's Appointment 30/04/22🚨
@UlsterHockey Premier League Division A
🏆TITLE DECIDER🏆 
@CookstownHockey v @instonianshc…",0,1,2022-04-29 15:02:54+00:00
100,Gohahwei1,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 15:00:45+00:00
101,Ulster_Umpires,"🚨Men's Appointment 30/04/22🚨
@UlsterHockey Premier League Division A
🏆TITLE DECIDER🏆 
@CookstownHockey v @instonianshc
Umpires: Jonny Campbell &amp; @Rockokoko78
Venue: Steelweld Park
Time: 13:00
🏑😤♻️🟨🔴

@fhumpires @eurohockeyorg @FIH_Hockey https://t.co/JA8XmMFI3m",3,1,2022-04-29 15:00:35+00:00
102,RKhalid2020,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 14:58:05+00:00
103,Ulster_Umpires,"🚨Women's Appointment 30/04/22🚨
@UlsterHockey Premier League Division A
22/23 EY2 FINAL ULSTER SPOT DECIDER
@banbridgehc v @QUBHC
Umpires: Christine Aiken &amp; Phil Shields
Venue: Havelock Park
Time: 13:00
🏑😤♻️🟨🔴

@fhumpires @eurohockeyorg @FIH_Hockey https://t.co/t1LLfCGXm5",3,0,2022-04-29 14:58:03+00:00
104,SzVeronika8006,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 14:56:55+00:00
105,KaramRasheed6,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-29 14:56:21+00:00
106,PelmeniPusha,"🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were greeted with a hanging Ukrainian flag above the bench and the inscription ""Srbe na vrbe - Serbs on willows"". https://t.co/OpIL2lj1RW",118,36,2022-04-29 14:56:03+00:00
107,Blazkovitch1,"RT @lord_of_war____: Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,1,2022-04-29 14:53:41+00:00
108,lord_of_war____,"Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were greeted with a hanging Ukrainian flag above the bench and the inscription ""Srbe na vrbe - Serbs on willows"". https://t.co/I9AbBK8oKC https://t.co/XJ0CfsSBjm",1,1,2022-04-29 14:50:16+00:00
109,WorldHockeyNews,#EH Master Club Finals Take Place At Lee Valley Hockey and Tennis Centre This Weekend https://t.co/pzbSsfl2Cy,0,0,2022-04-29 14:45:49+00:00
110,VanjaRadunovic,"#Serbia|n hockey players who are participating in the World Championship in #Poland, in the match against #Ukraine, were welcomed with a hanging Ukrainian flag above the bench and a flag with the inscription ""Serbs on willows"".

#PolandNazis #UkraineNazis https://t.co/bIG9OeakPR",1,0,2022-04-29 14:41:08+00:00
111,PolandHockey,"RT @Sz1909_Szemberg: So you can imagine that I went completely gaga when I had the opportunity to meet Mr. Tkacz, 75, at the Poland-Ukraine…",0,1,2022-04-29 13:31:27+00:00
112,PolandHockey,RT @Sz1909_Szemberg: 🧵Poland defeated Soviet Union 6-4 in the opener of the 1976 IIHF Worlds in Katowice. The biggest one-game upset in the…,0,5,2022-04-29 13:31:11+00:00
113,PolandHockey,"Krzyzstof Macias current leads the tournament in sourcing with 7 points (2G-5A-7PTS)

Kolat is tied for second in goals at 3.",1,0,2022-04-29 13:08:02+00:00
114,PolandHockey,"Poland U18 drops to Austria U18 5-2

Macias 1G 1A
Kolat 1G
Ciucka 40 svs 

They finish their U18 tournament on Sunday vs. Slovenia U18",1,0,2022-04-29 12:58:13+00:00
